Full_Review,Label,Preprocessed_Review,Similarity
Data provider hasn't collected the needed number of requests to start supporting this institution. So much for buying this app. Hopefully they get the information soon so i can actually use it. I contacted the team and they still tried their best to assist. Hopefully my bank gets supported soon.,1,data provider hasnt collected needed number request start supporting institution much buying app hopefully get information soon actually use contacted team still tried best assist hopefully bank get supported soon,0.177374636
Awesome app for budgeting and reducing expenses. Sometimes the app is a little slow in pulling information from accounts but it is still great to track all finances in one place.,0,awesome app budgeting reducing expense sometimes app little slow pulling information account still great track finance one place,0.174225195
It's a really good app. Great for managing spending and staying on top of your money but for me it's a new app. How do I know how good the security is? I need some sort of proof before I give my financial information to an app,0,really good app great managing spending staying top money new app know good security need sort proof give financial information app,0.171737998
"Before PocketGuard, my personal finances were not this organized. Go PocketGuard!",0,pocketguard personal finance organized go pocketguard,0.159178937
"Before PocketGuard, my personal finances were not this organized. Go PocketGuard!",0,pocketguard personal finance organized go pocketguard,0.159178937
"Pros:Minimalistic. Simple and modern personal finance app. Pretty good if you just want to see all your transactions in one place. Cons: very clunky when assigning pockets or tagging transactions. No ""catch all"" when making spending limits. Accounts tab has information density issues. I can't get a good overview of my accounts.",,prosminimalistic simple modern personal finance app pretty good want see transaction one place con clunky assigning pocket tagging transaction catch making spending limit account tab information density issue cant get good overview account,0.158219543
"As of of 6/24, even after the 6/16 update, I still only have the option to use plaid to add my bank account. Plaid still does not support my bank so I'm unable to link external accounts. 7/14/22 Financial information sent again. Hasn't changed since last year when it was submitted though.",0,even update still option use plaid add bank account plaid still support bank im unable link external account financial information sent hasnt changed since last year submitted though,0.154389001
This is the best financial service that links all my financial needs in one place.,0,best financial service link financial need one place,0.15419539
Your personal financial summary all in one,0,personal financial summary one,0.149799169
Best personal financial management app I have found!,0,best personal financial management app found,0.148061409
"I like the app but I think it'll be a good idea to have access to our credit card information and be able to connect the popular investment applications like acrons,robinhood etc. Also if we could pay bills ahead of time through the app that'll be neat too.",1,like app think itll good idea access credit card information able connect popular investment application like acronsrobinhood etc also could pay bill ahead time app thatll neat,0.14797944
Love PocketGuard and will continue to use for my personal finance management.,0,love pocketguard continue use personal finance management,0.147711451
Fine service to monitor all your accounts,0,fine service monitor account,0.1468427
It's honestly much nicer than some other apps I've tried but it is useless if your paycheck is irregular. Also they act like your profile information is vital but... this is not a social media app. They need that info for data mining and advertisements. All in all I found this app to be more exploitive than helpful.,1,honestly much nicer apps ive tried useless paycheck irregular also act like profile information vital social medium app need info data mining advertisement found app exploitive helpful,0.134619132
Amazing app to manage personal finances.,0,amazing app manage personal finance,0.133159366
"Everything was going great the first week or so but my primary bank account couldn't sync up with the app and I tried multiple times for days until I finally contacted support. I gave support the information they needed and no one has gotten back to since then so I'm done 😒 you have to pay for all the good stuff anyways, not worth it!",2,everything going great first week primary bank account couldnt sync app tried multiple time day finally contacted support gave support information needed one gotten back since im done 😒 pay good stuff anyways worth,0.128821131
"The ideas behind the app are sound and the simplicity is really nice, but upgrading adds little to no additional features. It took several months to not require manually reconnecting banking information, there was a bug that caused some duplication of transactions (that has yet to be cleaned up) and generally a lack of some basic features make this app little better than a spreadsheet. The main reason I am deleting is due to the horriblely non responsive customer service.",2,idea behind app sound simplicity really nice upgrading add little additional feature took several month require manually reconnecting banking information bug caused duplication transaction yet cleaned generally lack basic feature make app little better spreadsheet main reason deleting due horriblely non responsive customer service,0.125938409
Perfect free money budgeting service. Thanks!,0,perfect free money budgeting service thanks,0.125347976
Great customer service. Strong app.,0,great customer service strong app,0.123491245
"A trash app. I've been trying to sync with google, linkedin, and even using my own email and nothing loads. I try using my app and it hangs when it tries to log in. I try to use the web app and it hangs some more. No matter what I try I can't actually use the app, regardless how many times I enter passwords or private information. Sketchyyyyyy.",2,trash app ive trying sync google linkedin even using email nothing load try using app hang try log try use web app hang matter try cant actually use app regardless many time enter password private information sketchyyyyyy,0.119184992
Great interface and helpful information and schematics that show what you are spending on. Unfortunately I can't give more stars because I cannot use the app to track monthly spending without the ability to change the date of some transactions. If a paycheck comes in early then the app tries to tell me I've been payed double for this month whereas in reality that money should be budgeted for next month. I really hope this is fixed soon.,2,great interface helpful information schematic show spending unfortunately cant give star use app track monthly spending without ability change date transaction paycheck come early app try tell ive payed double month whereas reality money budgeted next month really hope fixed soon,0.117056604
My money is actually accounted for now. PocketGuard is an incredible service. I LOVE this app.,0,money actually accounted pocketguard incredible service love app,0.113409127
This is not a free service and never advertised as a charge. Never offers any free version just asks for you to pay and you have to uninstall if you don't want to pay for a service that you never used before.,0,free service never advertised charge never offer free version asks pay uninstall dont want pay service never used,0.112173475
I love this app. Setting up budgets is easy. The only reason I gave it four stars is because I have to go through a lengthy process to connect with my bank account every day that I use the app. That may be an issue with the bank and not the app itself.,0,love app setting budget easy reason gave four star go lengthy process connect bank account every day use app may issue bank app,0.111382106
Customer service is so prompt to reply,0,customer service prompt reply,0.110946903
"A little difficult to figure out (i.e. How to categorize purchases) - that part is not really intuitive. Otherwise a great app for people who have a couple of accounts and are looking to make a quick simple budget. For more complicated tracking, I'll be finding another app - it is too much work to set up all of my information just for the basic features and $4.99/mo is too steep for the amount of effort needed to set up a comprehensive budget.",0,little difficult figure ie categorize purchase part really intuitive otherwise great app people couple account looking make quick simple budget complicated tracking ill finding another app much work set information basic feature mo steep amount effort needed set comprehensive budget,0.10930832
"This is the best personal finance app that I have ever used, thank you to the developer(s).",0,best personal finance app ever used thank developer,0.106162667
It is a very convenient and elegant service to view all accounts in one place and to track your bills etc. I use it daily!,0,convenient elegant service view account one place track bill etc use daily,0.105944792
This is unquestionably the best personal finance management app,0,unquestionably best personal finance management app,0.099446808
This app is great but has technical problems. It won't send me the 4 digit pin code I need to link my bank account. It may need an update.,2,app great technical problem wont send digit pin code need link bank account may need update,0.099189887
make personal finance fun and easy! the design is simple! i love it!!!,0,make personal finance fun easy design simple love,0.098862042
I recommend this app for those who want to see a transparent picture of personal finances,0,recommend app want see transparent picture personal finance,0.098180954
"I like this app generally. Easy to use and can help provide a comprehensive financial picture if one doesn’t experience bank-connection issues.Also really love the feature that other apps like Mint do not have of being able to save a retailer to one category and never worry about it again.

However I have not been able to link to Citibank even though I’ve tried repeatedly with the right password.The password checks out, and then it goes to a screen that claims it’s connecting with the bank but sits there for more than five minutes. I’ve tried to connect at least 10x. 

Reached out to customer service and they told me I didn’t use the right bank password (and that I should “copy and paste”) as if I’m an idiot. Not a fan of this response as I had paid for a monthly upgrade. Will not pay for a full year and will discontinue use since this prevents me from actually seeing my entire financial outlook on that app.",2,like app generally easy use help provide comprehensive financial picture one ’ experience bankconnection issuesalso really love feature apps like mint able save retailer one category never worry however able link citibank even though ’ tried repeatedly right passwordthe password check go screen claim ’ connecting bank sits five minute ’ tried connect least x reached customer service told ’ use right bank password “ copy paste ” ’ idiot fan response paid monthly upgrade pay full year discontinue use since prevents actually seeing entire financial outlook app,0.097857433
Pocketguard gets it right. All accounts in one place all of the time.,0,pocketguard get right account one place time,0.097649327
Great app to keep budget personal in safe! I'm glad that found this app!,0,great app keep budget personal safe im glad found app,0.095517709
Free money management app with interesting features and great support. Was really surprised at such great services provided with no fee.,0,free money management app interesting feature great support really surprised great service provided fee,0.090844746
"Was excited about this service but i cant even create an account or log in, even on the website. Guess I'll find something else.",2,excited service cant even create account log even website guess ill find something else,0.088763651
"Great so far. I would have given it a five except the transactions seem to lag behind and don't download into the program in a timely manner. I have the transactions through at the bank, but they won't show up on the app. Too much of a delay. UPDATE: I found out that my transactions were moving slower due to a merge. More importantly, I received immediate customer service directly, and they helped me to fix the issue. The service was immediate responsive and listened to my needs. That is why I moved from a 4 star to a 5.",0,great far would given five except transaction seem lag behind dont download program timely manner transaction bank wont show app much delay update found transaction moving slower due merge importantly received immediate customer service directly helped fix issue service immediate responsive listened need moved star,0.085144136
Excellent app! The best one for managing personal finance. The best part of it - Free App.,0,excellent app best one managing personal finance best part free app,0.084340822
"I switched to Pocketguard from Mint, as I found I wasn't getting the value I would've liked. Very happy with my choice. Super easy to use, simple to understand and fit what I was looking for in a budget app perfectly. The mobile app doesn't feel like a worse version of the website. What's more, I was unable to link one of my accounts to the service. After some time with their support, I'm able to track the account, and they gave me a free month of premium. Above and beyond customer support!",0,switched pocketguard mint found wasnt getting value wouldve liked happy choice super easy use simple understand fit looking budget app perfectly mobile app doesnt feel like worse version website whats unable link one account service time support im able track account gave free month premium beyond customer support,0.083819969
Nice design but could not connect to my bank due to an Aggregation error and customer service never respomded.,2,nice design could connect bank due aggregation error customer service never respomded,0.083007277
You will never be able to delete your account. There is no way to try this app out.Talking to customer service lead nowhere. RESPONSE to dev - Which I did and was told to email customer support. I did that and instead of addressing my request a was being talked out of doing that. Waste of time,2,never able delete account way try app outtalking customer service lead nowhere response dev told email customer support instead addressing request talked waste time,0.082983637
"Except of being a great budgeting app, PocketGuard is pretty good at choosing services to partner with. I already lowered two of my bills with Billshark and saved $154 per month in total.",0,except great budgeting app pocketguard pretty good choosing service partner already lowered two bill billshark saved per month total,0.08145763
"This is really a great tool to centrally manage you finances. It puts your whole financial picture in a great report, and allows you to see where you're spending and where you can save money. Has options for setting limits per category and makes good suggestions to financial services",0,really great tool centrally manage finance put whole financial picture great report allows see youre spending save money option setting limit per category make good suggestion financial service,0.080394565
Customer service is always great and it's awesome condensing everything into one area for financials,0,customer service always great awesome condensing everything one area financials,0.080377836
"Everything I need for managing my personal finance at the moment. Love the look of the app, so nicely done!",0,everything need managing personal finance moment love look app nicely done,0.079069591
"I'm shocked, I didn't even realize how managing my personal account can be soo easy.",0,im shocked didnt even realize managing personal account soo easy,0.078943257
"Useful, clever, and innovative. Also their customer service is the most helpful of any I've ever had. 10/10, they have my loyalty.",0,useful clever innovative also customer service helpful ive ever loyalty,0.078410198
This app is really easy to use and clean. There is a paid option which I may go for soon that includes a digit/accorns type saving functionality. However I cant commit to it until those features have been added. super excited for their arrival!,0,app really easy use clean paid option may go soon includes digitaccorns type saving functionality however cant commit feature added super excited arrival,0.07641509
"This app looks cool and may be good if you pay for the premium version, but don't try it if you're looking for a free basic app. The free version only allows you to have 3 budget categories, so what's even the point? Just use Mint",0,app look cool may good pay premium version dont try youre looking free basic app free version allows budget category whats even point use mint,0.075265979
Customer service is excellent! The team really went out of their way to resolve my problems over several days. STRONG WORK!,0,customer service excellent team really went way resolve problem several day strong work,0.07347301
"I loved this app until it stopped connecting to my Wesbanco bank account. Even after deleting the bank account and reconnecting, it still wouldn't work. Customer service was completely unhelpful and insisted it was user error, but still couldn't say why it was happening. I had been using this app smoothly for several months prior to this happening. It was definitely NOT user error.",2,loved app stopped connecting wesbanco bank account even deleting bank account reconnecting still wouldnt work customer service completely unhelpful insisted user error still couldnt say happening using app smoothly several month prior happening definitely user error,0.073371289
"This app can be described in two words ""Aggregation error."" I used it for nearly a year hoping it would improve, but it's ability to connect to your various accounts is too inconsistent to make it worth it. I'll be looking elsewhere for this service.",2,app described two word aggregation error used nearly year hoping would improve ability connect various account inconsistent make worth ill looking elsewhere service,0.072754685
"Added my bank just fine, but then failed to add my paypal account. When trying to set up my income sources, it didn't even provide an option to ""add"" any, but instead listed the money deposits from my bank account, assuming those were my only income, and ONLY allowed me to choose from those! So I can't make cash for income? On top of all the INCREDIBLY personal questions it FORCES you to answer to even set it up (net worth, etc), this one is a *HARD PASS.* This app is not good. EDIT REPLYING TO DEV RESPONSE: I don't download apps to help developers fix them, i download them to USE them. I have my own things to do every day. This app sucks.",2,added bank fine failed add paypal account trying set income source didnt even provide option add instead listed money deposit bank account assuming income allowed choose cant make cash income top incredibly personal question force answer even set net worth etc one hard pas app good edit replying dev response dont download apps help developer fix download use thing every day app suck,0.072020095
"Great app with many useful features. PocketGuard also gives awesome recommendations on paying off credit card debts, student loan refinancing etc. But what I liked the most is the offer to lower my bills. First I had doubts, but then doubted that PocketGuard would recommend a tricky service and agreed to have one of my bills lowered. I still can't believe it happened so fast and easy!",0,great app many useful feature pocketguard also give awesome recommendation paying credit card debt student loan refinancing etc liked offer lower bill first doubt doubted pocketguard would recommend tricky service agreed one bill lowered still cant believe happened fast easy,0.071704573
"Great idea in concept, but couldn't link due to 'aggregation' error. After multiple attempts to contact customer service over the course of 2 weeks with no response, gave up. Didn't work at all as a result and was a waste of time.",2,great idea concept couldnt link due aggregation error multiple attempt contact customer service course week response gave didnt work result waste time,0.071407562
It was great but now i cant access my account.,2,great cant access account,0.070940339
"Outstanding app. I've been using it for a year after accidentally came across it in the app store. I switched to other apps just to try something new. But PocketGuard constantly improves their service! Great job, keep up!",0,outstanding app ive using year accidentally came across app store switched apps try something new pocketguard constantly improves service great job keep,0.070728992
"We really enjoy using this app as you can use the same login/password and access Pocketguard from different devices. Would like some more features for family budgeting, but it's obvious the app wasn't designed for it initially. But it's a great way of improvement.",0,really enjoy using app use loginpassword access pocketguard different device would like feature family budgeting obvious app wasnt designed initially great way improvement,0.070122369
"The budget service and app delivers on everything it promised, and the support for any issues has been super responsive. I would 100% recommend the premium upgrade.",0,budget service app delivers everything promised support issue super responsive would recommend premium upgrade,0.069985537
"It's great when it works. Pros: Syncs frequently, all accounts in one place, super easy to change settings and personalize. Cons: Sometimes it seems as though half of my previously changed settings have disappeared everytime I go into the app (what transactions are marked as bills and recurring income, all gone), you can't add your own ""pockets,"" Ally credit card accounts don't connect, and the savings goal is a joke (you have to reset the account every time you look at the screen. If you have recurring income with the account chosen, you can't use it. But you also can't track transfers from other personal accounts, so if you have an automatic transfer for savings, it doesn't recognize it as savings unless you change a bunch of settings that are needed in other places. How many people save money by erratically transferring money from an outside source? And since you can't add pockets, you can't just keep track of it that way...) Getting premium did not change any of above cons. Overall, definitely recommended, but could use some updates.",2,great work pro syncs frequently account one place super easy change setting personalize con sometimes seems though half previously changed setting disappeared everytime go app transaction marked bill recurring income gone cant add pocket ally credit card account dont connect saving goal joke reset account every time look screen recurring income account chosen cant use also cant track transfer personal account automatic transfer saving doesnt recognize saving unless change bunch setting needed place many people save money erratically transferring money outside source since cant add pocket cant keep track way getting premium change con overall definitely recommended could use update,0.069954681
"This is a great personal finance app to aggregate income and expense from various sources. It takes a moment to find all the components, but this also makes the app clean and simple. this is a great alternative to Mint, for example, which is a bit heavy and clunky to me.",0,great personal finance app aggregate income expense various source take moment find component also make app clean simple great alternative mint example bit heavy clunky,0.069814237
PocketGuard provides full and clear financial info in an easy to access format.,0,pocketguard provides full clear financial info easy access format,0.069539331
"Helped me to organize my finances and achieve the savings goal. I like the monthly projected amounts as well as the daily ones. Top institutions sync almost in the real-time, but the smaller banks aren't. Also, there is an option to manage a cash account and include transfers to the calculations. Multiple affiliate programs and some of them were helpful There is also a web version which is very helpful when you need to adjust pockets or rename vendors. All in all, the app is extremely useful for daily use; it's not excessive and hence, not time-consuming; has the beautiful interface. It's a pleasure to see a free product of a high quality. Amazing service from people who love what they do.",0,helped organize finance achieve saving goal like monthly projected amount well daily one top institution sync almost realtime smaller bank arent also option manage cash account include transfer calculation multiple affiliate program helpful also web version helpful need adjust pocket rename vendor app extremely useful daily use excessive hence timeconsuming beautiful interface pleasure see free product high quality amazing service people love,0.069182426
Can't use without a bank account,1,cant use without bank account,0.068634607
"Doesn't connect with some major banks, connections to other major financial accounts constantly needing reset or fixed, transactions very rarely put in the proper place... and customer service wasn't helpful for any of it. Couldn't get it to ever even start to work over three weeks of trying.",2,doesnt connect major bank connection major financial account constantly needing reset fixed transaction rarely put proper place customer service wasnt helpful couldnt get ever even start work three week trying,0.06857343
Finally a financial app I love and can use.,0,finally financial app love use,0.068272144
Won't connect to my credit union and spits out an error every time. No response from customer service so it's a non starter.,2,wont connect credit union spit error every time response customer service non starter,0.067705585
Quick access to your accounts,0,quick access account,0.067645659
"I was excited about trying this app because of all the good reviews. Unfortunately, I can’t make it passed the 2nd step which is to connect accounts. 
I kept coming across a “general system error” message which would stop me in my tracks. I thought there may have been issues with the bank I was trying to connect to. So, I also tried connecting to a different account and I had a little bit more luck with that (it had accepted my username and password), but I had to enter a special code 3 times and then I ended up getting another “general system error”. I also tried restarting my phone, but no luck.",2,excited trying app good review unfortunately ’ make passed nd step connect account kept coming across “ general system error ” message would stop track thought may issue bank trying connect also tried connecting different account little bit luck accepted username password enter special code time ended getting another “ general system error ” also tried restarting phone luck,0.067373389
this is the best application for financial management. very convenient and saves time for the user.,0,best application financial management convenient save time user,0.066740839
Can't use app without allowing access to bank account. Should not be a necessity.,1,cant use app without allowing access bank account necessity,0.066643578
Updates after issues fixed... This is hands down the best finance app all around. Their customer service is phenomenal! I finally have ONE place for ALL my accounts. One thing I do hope to see in the future is easier refreshing of the accounts. It appears you can refresh a few different ways but nothing happens unless you go into the account settings and refresh within there.,2,update issue fixed hand best finance app around customer service phenomenal finally one place account one thing hope see future easier refreshing account appears refresh different way nothing happens unless go account setting refresh within,0.063932423
"Although i love this app, im wondering when will it provide a fix for connecting to HSBC personal internet banking. Hsbc requires birthday date in addition to username and password. Any info on when this would be added to pocket guard?",1,although love app im wondering provide fix connecting hsbc personal internet banking hsbc requires birthday date addition username password info would added pocket guard,0.063420605
PocketGuard is one of the best Financial tracking apps out there.,0,pocketguard one best financial tracking apps,0.063404602
Installed the app a few months ago but they didn't support my University of Wiscounsin CU so I wasn't able to use the app. I requested my CU to be added and to be honest wasn't really hoping that they would but a few days ago Pocket Guard sent me an email that the UWCU is now active in the app! I do appreciate that they proceeded my request and informed me about it. Great customer support and awesome service. Thanks!,0,installed app month ago didnt support university wiscounsin cu wasnt able use app requested cu added honest wasnt really hoping would day ago pocket guard sent email uwcu active app appreciate proceeded request informed great customer support awesome service thanks,0.063227142
Has really great potential but it wont let me connect my fifth third account.,0,really great potential wont let connect fifth third account,0.062778536
Great app use it all the time,0,great app use time,0.062412079
Love PocketGuard. Easy to use. Clear view of my finances. Great for budgeting and keeping up with your financial goals.,0,love pocketguard easy use clear view finance great budgeting keeping financial goal,0.062069739
This is the best budgeting app I've ever used. The visualization and automated categorization of transactions is exactly what I've been looking for. Customer service has been very responsive and the team is constantly making updates/improvements.,0,best budgeting app ive ever used visualization automated categorization transaction exactly ive looking customer service responsive team constantly making updatesimprovements,0.061988951
Awesome. Actually tracks everything. Who has time to enter all the data? Not me.,0,awesome actually track everything time enter data,0.061918949
"Fast, easy to use, and gives me the answers I need in my financial questions. I can't live without PocketGuard.",0,fast easy use give answer need financial question cant live without pocketguard,0.06149234
"Fantastic, especially the pay-per-month edition. Customer service: VERY quick to respond, fixed my aggregation issue right away. Thanks, Stan! My only issue with this app is that the budgeting features are not robust enough. Carryover spending from one month to the next would be great, since some of my spending routines are bi-monthly.",0,fantastic especially paypermonth edition customer service quick respond fixed aggregation issue right away thanks stan issue app budgeting feature robust enough carryover spending one month next would great since spending routine bimonthly,0.06144238
"Would have loved to try it. Unfortunately it forces you to link your financial accounts before you can even set up a budget or really look at the app at all. No way to manually manage an account (such as the cash in your own wallet), which is a feature I need for that anyway, and I also have no interest in linking my financial accounts until I determine whether I even like the app. Bummer",,would loved try unfortunately force link financial account even set budget really look app way manually manage account cash wallet feature need anyway also interest linking financial account determine whether even like app bummer,0.06018882
"So now the free version only allows you to view 3 months of spending and details at a time. If the app started that way, fine but now you're taking away features to force the pro version? It's a great app and their customer service is great too but I'll be looking elsewhere.",0,free version allows view month spending detail time app started way fine youre taking away feature force pro version great app customer service great ill looking elsewhere,0.060018686
Easy to setup and use. Simple user interface.,0,easy setup use simple user interface,0.059971499
Horrible app that did not deliver promised functions. Now stuck having spent 24 dollars for the premium version of an app that I can't use AND THEY REFUSED TO REFUND ME. HORRIBLE SERVICE AND BAD FOR MANAGING TRANSACTIONS.,,horrible app deliver promised function stuck spent dollar premium version app cant use refused refund horrible service bad managing transaction,0.059925269
"Best budgeting app out there in my opinion, when it works that is. More often then not, can't connect to my bank. Each time there's an issue with their data provider. You would think that they would switch to a different provider like Plaid, but maybe it's just Canadian banks that keep breaking.",2,best budgeting app opinion work often cant connect bank time there issue data provider would think would switch different provider like plaid maybe canadian bank keep breaking,0.059285694
"Set up is really easy in here: just connect your accounts and the app finds 
your bills/income automatically for you. It look me 5 minutes to finish the 
setup and get going. The only con was asking for too much of my personal 
info, but I just skipped this step. I would 100% recommend this app",1,set really easy connect account app find billsincome automatically look minute finish setup get going con asking much personal info skipped step would recommend app,0.05918003
I don't often review but this app seems with it. It took a minute to figure out everything but once I did I enjoyed it. I had a bit of a problem with my balance updating but contacted support and good really good results. Awesome customer service.,,dont often review app seems took minute figure everything enjoyed bit problem balance updating contacted support good really good result awesome customer service,0.058977357
Keeps everything in one place. And provides awesome additional services starting from cutting your bills (!) to get a life insurance. Glad to see that in special tabs so the interface is free from adds.,0,keep everything one place provides awesome additional service starting cutting bill get life insurance glad see special tab interface free add,0.05888197
I don't even check my bank accounts online any more. I go to the Pocketguard app!,0,dont even check bank account online go pocketguard app,0.058528094
"Note that this does cost money. However, one of fhe few budget apps that has manual import of csv transactions you can request. has net monthly income, has budgeting, can tag transactions. Also has two account sync providers (Plaid and Finicity) which is nice, all of my banks are supportrd. Some UI issues (can't access goals or debt payoff because the nav bar hides the button)",0,note cost money however one fhe budget apps manual import csv transaction request net monthly income budgeting tag transaction also two account sync provider plaid finicity nice bank supportrd ui issue cant access goal debt payoff nav bar hide button,0.058318406
"Pocketguard allows to connect any kind of financial accounts and that's 
what I like about it. Great app!",0,pocketguard allows connect kind financial account thats like great app,0.058013906
"Update: Changing my rating because my transactions never even sync anymore and I always get the same answer that it's a bug that they are working on. At this point I can't use the app for budgeting. I really wanna like this app because it's been the easiest one to use, but the transactions and payments don't sync anymore and customer service doesn't seem to know how to actually fix it. It looks like others are having this issue, so I really hope they fix this bug.",2,update changing rating transaction never even sync anymore always get answer bug working point cant use app budgeting really wan na like app easiest one use transaction payment dont sync anymore customer service doesnt seem know actually fix look like others issue really hope fix bug,0.057977334
I don't few comfortable having to logging to my bank account through a 3rd party app. Don't like it. Uninstalling it. Sorry!,1,dont comfortable logging bank account rd party app dont like uninstalling sorry,0.057911828
"I was looking for a personal budgeting app that will show my spending habits and will give me some tools to change them. Pocket guard seems perfect for this purpose as it automatically categorises my trasnactions and clearly shows how much I spend on each category per month. Then I can set a limit for a certain category of spending if see a problem there (like, spending too much on bars). At first I was disappointed that the app doesn't allow creating custom pockets, but then upgraded to Plus and found hashtags and it solved the issue completely.",0,looking personal budgeting app show spending habit give tool change pocket guard seems perfect purpose automatically categorises trasnactions clearly show much spend category per month set limit certain category spending see problem like spending much bar first disappointed app doesnt allow creating custom pocket upgraded plus found hashtags solved issue completely,0.057662773
"I simply cannot get passed the account link phase. I will link account, then says to verify code via text. After that it says it is verifying, will do this for several minutes and suddenly stop. I've done this process about 10 times and no access.",2,simply get passed account link phase link account say verify code via text say verifying several minute suddenly stop ive done process time access,0.057639062
I purchased the Plus version but cancelled it because ot didn't suit my needs. Customer service was helpful after a little delay in them getting back to me about a refund.,0,purchased plus version cancelled ot didnt suit need customer service helpful little delay getting back refund,0.057531164
User friendly and a breeze to use.,0,user friendly breeze use,0.057281104
I dont understand why this doesn't have a higher star rating and more downloads. I don't normally do reviews but this one deserves a higher star rating. Also I will pay for the premium service even though I probably won't use the 2 things it adds but because there giving you a free app to help you improve your finances that they should have people pay for because of all there hard work at making it and designing it in a way that is so easy to use. I hope the app keeps growing and it should be the number 1 app on the play store for managing money.,0,dont understand doesnt higher star rating downloads dont normally review one deserves higher star rating also pay premium service even though probably wont use thing add giving free app help improve finance people pay hard work making designing way easy use hope app keep growing number app play store managing money,0.057101451
This pocket guard is really helpful. I use it to help me in financial,0,pocket guard really helpful use help financial,0.056691202
"This app does not work well if you pay for some of your bills indirectly, i.e. paying rent through PayPal to your roommate who then pays your landlord, because PayPal always registers as the same vendor, no matter how they're used. Additionally it's hard to account for extra spending without breaking it down into every little category possible. There's no option to say ""every month I budget $300 for whatever I may need it for."" In other ways as well, this app isn't flexible enough.",2,app work well pay bill indirectly ie paying rent paypal roommate pay landlord paypal always register vendor matter theyre used additionally hard account extra spending without breaking every little category possible there option say every month budget whatever may need way well app isnt flexible enough,0.056354166
The calcualtions are mismatched 2 months in a row(only subscribed for 2 months) due to missing transactions causing uncertainty as to where my finances actually are. This service is not what it was made out to be.,2,calcualtions mismatched month rowonly subscribed month due missing transaction causing uncertainty finance actually service made,0.055888253
So easy to use!!!,0,easy use,0.055667325
Easy to use,0,easy use,0.055667325
"As a financial advisor, I heartily endorse this product",0,financial advisor heartily endorse product,0.05562807
"UPDATE 3/27/2018: I don’t think I had another app update since I wrote this but it app works perfectly now 😁 Thank you!

Hi - I’ve been using PocketGuard for a couple months now and absolutely love it - especially the Level-like features that I’ve been missing for so long!

HOWEVER I’m not sure what happened in the last couple of weeks but I have not been able to get past the launch screen (not sure if that’s the technical term but it’s the all gray background with the PocketGuard logo in the center) to access my transactions, insights, etc. on the iOS app. It is all there when I go on my laptop through a web browser - so no account connection issues. I tried uninstalling and re-installing the app but I’m still getting the same problem. I also made sure it’s completely up to date...

I’ll give 5 stars but just need help with this first! Thank you 😁",0,update ’ think another app update since wrote app work perfectly 😁 thank hi ’ using pocketguard couple month absolutely love especially levellike feature ’ missing long however ’ sure happened last couple week able get past launch screen sure ’ technical term ’ gray background pocketguard logo center access transaction insight etc io app go laptop web browser account connection issue tried uninstalling reinstalling app ’ still getting problem also made sure ’ completely date ’ give star need help first thank 😁,0.055487949
